#separator:tab
#html:true
あのひと（あの人）	він / вона
みなさん（皆さん）	всі, пані та панове
せんせい（先生）	вчитель
きょうし（教師）	викладач
がくせい（学生）	студент
かいしゃいん（会社員）	працівник компанії
しゃいん（社員）	співробітник
ぎんこういん（銀行員）	працівник банку
わたし（私）	я
あなた	ти / ви
あのかた（あの方）	ввічливо він / вона
～さん	пан / пані
～ちゃん	зменшувальний суфікс
～くん	суфікс для хлопців
～じん（～人）	національність
いしゃ（医者）	лікар
けんきゅうしゃ（研究者）	дослідник
エンジニア	інженер
だいがく（大学）	університет
びょういん（病院）	лікарня
でんき（電気）	електрика / світло
だれ	хто
どなた	хто (ввічливо)
はい	так
いいえ	ні
しつれいですが（失礼ですが）	вибачте, але
おなまえは？（お名前は？）	як вас звати?
はじめまして（初めまして）	приємно познайомитися
どうぞよろしく（お願いします）	приємно познайомитися / прошу добре ставитися
こちらは～さんです	це пан / пані …
～からきました（～から来ました）	я з …
アメリカ	США
イギリス	Велика Британія
インド	Індія
インドネシア	Індонезія
かんこく（韓国）	Корея
ちゅうごく（中国）	Китай
ドイツ	Німеччина
にほん（日本）	Японія
ブラジル	Бразилія
これ	це (про предмети біля себе)
それ	це, те (біля співрозмовника)
あれ	те (далеко від обох)
この～	цей ~ (біля мовця)
その～	той ~ (біля співрозмовника)
あの～	он той ~ (далеко)
どの～	який…?
ほん（本）	книжка
じしょ（辞書）	словник
ざっし（雑誌）	журнал, часопис
しんぶん（新聞）	газета
ノート	зошит
てちょう（手帳）	записник, блокнот
めいし（名刺）	візитна картка
カード	картка, листівка
テレホンカード	телефонна картка
えんぴつ（鉛筆）	олівець
シャープペンシル	автоматичний олівець
ボールペン	(кулькова) ручка
マーカー	маркер
かぎ（鍵）	ключ
とけい（時計）	годинник
かさ（傘）	парасолька
かばん（鞄）	сумка
テープ	(аудіо) касета, плівка
テープレコーダー	магнітофон
テレビ	телевізор
ラジオ	радіо
カメラ	фотоапарат
コンピューター	комп’ютер
じどうしゃ（自動車）	автомобіль
つくえ（机）	стіл
いす（椅子）	стілець
チョコレート	шоколад
コーヒー	кава
えいご（英語）	англійська мова
にほんご（日本語）	японська мова
～ご（～語）	мова
なん、なに（何）	що
そうです	так, це так
ちがいます	ні, це не так
そうですか	он як? / зрозуміло
あのう	ну... (вагання)
ええ	так (розмовне)
もういちど（もう一度）	ще раз
いくら	скільки коштує
なんがい（何階）	який поверх
～えん（～円）	- єн(а)
ひゃく（百）	сто
せん（千）	тисяча
かぎ	ключ
かばん	сумка, портфель
いす	стілець
そう	так
ちがいます（違います）	ні, це не так / неправильно
ほんのきもちです（ほんの気持ちです）	це лише символ / дрібничка
どうぞ	будь ласка
どうも	дякую
ありがとうございます	дуже дякую
これからおせわになります（これからお世話になります）	сподіваюся на вашу підтримку
こちらこそよろしく	взаємно, мені теж приємно
どちら	куди
きょうしつ（教室）	класна кімната, аудиторія
しょくどう（食堂）	їдальня
じむしょ（事務所）	офіс, кабінет
かいぎしつ（会議室）	зал засідань
うけつけ（受付）	приймальня, реєстратура
ロビー	вестибюль
へや（部屋）	кімната
トイレ（おてあらい）	туалет
かいだん（階段）	сходи
エレベーター	ліфт
エスカレーター	ескалатор
おくに（お国）	[ваша] країна
うち	дім
でんわ（電話）<br>	телефон
くつ（靴）	взуття
ネクタイ	краватка
ワイン	вино
たばこ	тютюн, цигарки
うりば（売り場）	відділ, прилавок
ちか（地下）	підвал, підземний поверх
～かい（～階）	-й поверх
まん（万）	десять тисяч
すみません	вибачте
～でございます	ввічлива форма です
～をみせてください（～を見せてください）	покажіть, будь ласка ~
じゃ	ну що ж / тоді
～をください	будь ласка, дайте ~
しんおおさか（新大阪）	назва станції (Осака)
イタリア	Італія
スイス	Швейцарія
"<div>The front of this card is blank.<br><a href='https://docs.ankiweb.net/templates/errors.html#front-of-card-is-blank'>More information</a></div>"	"<div>The front of this card is blank.<br><a href='https://docs.ankiweb.net/templates/errors.html#front-of-card-is-blank'>More information</a></div>"
たべます（食べます）	Їсти
のみます - 飲みます	пити
[たばこを〜] すいます - 吸います	палити, курити&nbsp;[〜 цигарки, тютюн]
みます - 見ます	дивитися, бачити
ききます - 聞きます	слухати, чути
よみます - 読みます	читати
かきます - 書きます	писати, малювати
かいます - 買います	купувати
[しゃしんを〜] とります - 撮ります	знімати [〜 фотографії]
します	робити
[ともだちに〜] あいます - 会います	зустрічати(ся)&nbsp;[〜 з другом]
ごはん	їжа; прісна рисова каша
あさごはん - 朝ごはん	сніданок
ひるごはん - 昼ごはん	обід
ばんごはん - 晩ごはん	вечеря
パン	хліб
たまご - 卵	яйце
にく - 肉	м’ясо
さかな - 魚	риба
やさい - 野菜	овочі
くだもの - 果物	фрукти
みず - 水	вода
おちゃ - お茶	чай, зелений чай
こうちゃ - 紅茶	чорний чай
ぎゅうにゅう - 牛乳	молоко
ジュース	сік
ビール	пиво
[お]さけ - [お]酒	алкогольні напої, саке
いきます - 行きます	іти
きます - 来ます	приходити
かえります - 帰ります	іти додому, повертатися
がっこう - 学校	школа
スーパー	супермаркет
えき - 駅	станція, вокзал
ひこうき - 飛行機	літак
ふね - 船	корабель
でんしゃ - 電車	поїзд, електричка
ちかてつ - 地下鉄	метро
しんかんせん - 新幹線	швидкісний експрес Сінкансен
バス	автобус
タクシ	таксі
じてんしゃ - 自転車	велосипед
あるいて - 歩いて	пішки
ひと - 人	людина
ともだち - 友達	друг
かれ - 彼	він; друг (бойфренд)
かのじょ - 彼女	вона; подруга (дівчина)
かぞく - 家族	сім’я, родина
ひとりで - 一人で	один, сам, самостійно
せんしゅう - 先週	минулий тиждень, минулого тижня
こんしゅう - 今週	цей тиждень, цього тижня
らいしゅう - 来週	наступний тиждень, наступного тижня
せんげつ - 先月	минулий місяць, минулого місяця
こんげつ - 今月	цей місяць, цього місяця
らいげつ - 来月	наступний місяць, наступного місяця
きょねん - 去年	минулий рік, минулого року
ことし - 今年	цей рік, цього року
らいねん - 来年	наступний рік, наступного року
いちがつ - 一月	-й місяць року
なんがつ - 何月	який місяць
ついたち - 一日	перше число
ふつか - 二日	друге число / 2 дні
みっか - 三日	третє число / 3 дні
よっか - 四日	четверте число / 4 дні
いつか - 五日	п’яте число / 5 днів
むいか - 六日	шосте число / 6 днів
なのか - 七日	сьоме число / 7 днів
ようか - 八日	восьме число / 8 днів
ここのか - 九日	дев’яте число / 9 днів
とおか - 十日	десяте число / 10 днів
じゅうよっか - 十四日	14 число
はつか - 二十日	20 число
にじゅうよっか - 二十四日	24 число
いちにち - 一日	день
なんにち - 何日	яке число / скільки днів
いつ - いつ	коли
たんじょうび - 誕生日	день народження
ふつう - 普通	звичайний (поїзд)
きゅうこう - 急行	швидкий поїзд
とっきゅう - 特急	експрес
つぎの - 次の	наступний
どういたしまして - どういたしまして	нема за що
いちばんせん - 一番線	платформа №
はかた - 博多	місто (Кюсю)
ふしみ - 伏見	район (Кіото)
こうしえん - 甲子園	станція (біля Осаки)
おおさかじょう - 大阪城	Осакський замок
まいあさ - 毎朝	кожного ранку
まいばん - 毎晩	кожного вечора
まいにち - 毎日	кожного дня
げつようび - 月曜日	понеділок
かようび - 火曜日	вівторок
すいようび - 水曜日	середа
もくようび - 木曜日	четвер
きんようび - 金曜日	п’ятниця
どようび - 土曜日	субота
にちようび - 日曜日	неділя
なんようび - 何曜日	який день тижня
ばんごう - 番号	номер
なんばん - 何番	який номер
〜から - 〜から	з ~
〜まで - 〜まで	до ~
〜と〜 - 〜と〜	і / та
そちら - そちら	туди; там (ввічливо)
たいへんですね - 大変ですね	співчуваю / це важко
えーと - えーと	ну / ем
おねがいします - お願いします	будь ласка (прохання)
かしこまりました - かしこまりました	зрозуміло / буде виконано
おといあわせのばんごう - お問い合わせの番号	номер запиту
どうもありがとうございます - どうもありがとうございます	дуже дякую
ニューヨーク - ニューヨーク	Нью-Йорк
ペキン - 北京	Пекін
ロンドン - ロンドン	Лондон
バンコク - バンコク	Бангкок
ロサンゼルス - ロサンゼルス	Лос-Анджелес
やまとびじゅつかん - 大和美術館	вигаданий музей
おおさかデパート - 大阪デパート	вигаданий універмаг
みどりとしょかん - みどり図書館	вигадана бібліотека
アップルぎんこう - アップル銀行	вигаданий банк
おきます - 起きます	прокидатися, вставати
ねます - 寝ます	спати (лягати)
はたらきます - 働きます	працювати
やすみます - 休みます	відпочивати, брати вихідний
べんきょうします - 勉強します	вчитися
おわります - 終わります	закінчувати
デパート - デパート	універмаг
ぎんこう - 銀行	банк
ゆうびんきょく - 郵便局	пошта
としょかん - 図書館	бібліотека
びじゅつかん - 美術館	музей мистецтва
いま - 今	зараз
いちじ - 一時	- година
いっぷん - 一分	- хвилина
はん - 半	пів (на ...)
なんじ - 何時	котра година
なんぷん - 何分	скільки хвилин
ごぜん - 午前	перша половина дня
ごご - 午後	друга половина дня
あさ - 朝	ранок
ひる - 昼	день
ばん - 晩	вечір, ніч
おととい - おととい	позавчора
きのう - 昨日	вчора
きょう - 今日	сьогодні
あした - 明日	завтра
あさって - 明後日	післязавтра
けさ - 今朝	сьогодні вранці
こんばん - 今晩	сьогодні ввечері
やすみ - 休み	відпочинок, вихідний
ひるやすみ - 昼休み	обідня перерва
ここ - ここ	тут
そこ - そこ	там (біля співрозмовника)
あそこ - あそこ	там (далеко)
どこ - どこ	де
こちら - こちら	сюди; тут (ввічливо)
あちら - あちら	там (ввічливо)
どちら - どちら	де / куди (ввічливо)
きょうしつ - 教室	клас, аудиторія
しょくどう - 食堂	їдальня
じむしょ - 事務所	офіс
かいぎしつ - 会議室	зал засідань
うけつけ - 受付	ресепшн
ロビー - ロビー	вестибюль
へや - 部屋	кімната
トイレ - お手洗い	туалет
かいだん - 階段	сходи
エレベーター - エレベーター	ліфт
エスカレーター - エスカレーター	ескалатор
おくに - お国	[ваша] країна
かいしゃ - 会社	компанія
うち - うち	дім
でんわ - 電話	телефон
くつ - 靴	взуття
ネクタイ - ネクタイ	краватка
ワイン - ワイン	вино
たばこ - たばこ	тютюн, цигарки
うりば - 売り場	відділ магазину
ちか - 地下	підвал, підземний поверх
いっかい - 一階	1-й поверх
なんがい - 何階	який поверх
いちえん - 一円	1 єна
いくら - いくら	скільки коштує
ひゃく - 百	сто
せん - 千	тисяча
まん - 万	десять тисяч
すみません - すみません	вибачте
〜でございます - 〜でございます	ввічлива форма &quot;є&quot;
みせてください - 見せてください	покажіть, будь ласка
じゃ - じゃ	ну що ж / тоді
ください - ください	будь ласка, дайте
しんおおさか - 新大阪	станція (Осака)
イタリア - イタリア	Італія
スイス - スイス	Швейцарія
